market_year,2024-11,2025-02,2025-05,2025-08,2025-11,2026-02,2026-05,2026-08,unit,note
2011/12,5636,5636,5636,,,,,,kt (tel quel),
2012/13,8159,8159,8159,8159,8159,8159,8159,,kt (tel quel),
2013/14,9917,9917,9917,9917,9917,9917,9917,9917,kt (tel quel),
2014/15,2294,2294,2294,2294,2294,2294,2294,2294,kt (tel quel),
2015/16,-6462,-6462,-6462,-6462,-6462,-6462,-6462,-6462,kt (tel quel),缺口起点(连续6年缺口之1)
2016/17,-3610,-3610,-3610,-3610,-3610,-3610,-3610,-3610,kt (tel quel),
2017/18,9408,9408,9408,9408,9408,9408,9408,9408,kt (tel quel),过剩峰值
2018/19,5120,5120,5120,5120,5120,5120,5120,5120,kt (tel quel),
2019/20,-626,-626,-626,-626,-626,-626,-626,-626,kt (tel quel),
2020/21,-564,-564,-564,-564,-564,-564,-564,-564,kt (tel quel),
2021/22,-3877,-3877,-3877,-3877,-3877,-3877,-3877,-3877,kt (tel quel),"ISO 2024年起回溯修订, 从旧口径-2655kt扩至-3877kt"
2022/23,-1871,-1871,-1871,-1871,-1871,-1871,-1871,-1871,kt (tel quel),"ISO 2024年起回溯修订, 从旧口径+310kt翻转为-1871kt"
2023/24,1312,1412,2039,-431,-160,-112,-253,-253,kt (tel quel),跨年份大幅修订: +2039(May-25) → -253(Aug-26)
2024/25,-2513,-4881,-5466,-4879,-2916,-3464,-3196,-3643,kt (tel quel),缺口头一年内多次修订: -4879→-2916→-3464→-3196→-3643
2025/26,,,,-231,1625,1218,2244,1144,kt (tel quel),本季5个vintage: 首版-231 → 11月+1625 → 2月+1218 → 5月+2244 → 8月+1144
2026/27,,,,,,,,-234,kt (tel quel),首版(2026-08)
